utc_timestamp,cet_cest_timestamp,DE_load_actual_entsoe_transparency,DE_solar_capacity,DE_solar_generation_actual,DE_solar_profile,DE_wind_capacity,DE_wind_generation_actual,DE_wind_profile,DE_wind_offshore_generation_actual,DE_wind_onshore_generation_actual
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,41151.0000,37248.0000,,,27913.0000,8852.0000,0.3171,517.0000,8336.0000
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,40135.0000,37248.0000,,,27913.0000,9054.0000,0.3244,514.0000,8540.0000
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,39106.0000,37248.0000,,,27913.0000,9070.0000,0.3249,518.0000,8552.0000
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,38765.0000,37248.0000,,,27913.0000,9163.0000,0.3283,520.0000,8643.0000
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,38941.0000,37248.0000,,,27913.0000,9231.0000,0.3307,520.0000,8712.0000
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,39045.0000,37248.0000,,,27913.0000,9689.0000,0.3471,521.0000,9167.0000
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,40206.0000,37248.0000,,,27913.0000,10331.0000,0.3701,520.0000,9811.0000
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,41133.0000,37248.0000,71.0000,0.0019,27913.0000,10208.0000,0.3657,525.0000,9683.0000
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,42963.0000,37248.0000,773.0000,0.0207,27913.0000,10029.0000,0.3593,527.0000,9502.0000
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,45088.0000,37248.0000,2117.0000,0.0568,27913.0000,10550.0000,0.3780,525.0000,10025.0000
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,47013.0000,37248.0000,3364.0000,0.0903,27913.0000,11390.0000,0.4080,528.0000,10862.0000
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,48159.0000,37248.0000,4198.0000,0.1127,27913.0000,12103.0000,0.4336,528.0000,11575.0000
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,47164.0000,37248.0000,3500.0000,0.0940,27913.0000,12505.0000,0.4480,528.0000,11977.0000
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,46752.0000,37248.0000,2279.0000,0.0612,27913.0000,11921.0000,0.4271,525.0000,11396.0000
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,47403.0000,37248.0000,746.0000,0.0200,27913.0000,11851.0000,0.4246,524.0000,11327.0000
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,49440.0000,37248.0000,50.0000,0.0013,27913.0000,13582.0000,0.4866,524.0000,13058.0000
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,53410.0000,37248.0000,0.0000,0.0000,27913.0000,15436.0000,0.5530,524.0000,14911.0000
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,53672.0000,37248.0000,0.0000,0.0000,27913.0000,16868.0000,0.6043,524.0000,16344.0000
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,53012.0000,37248.0000,0.0000,0.0000,27913.0000,18008.0000,0.6451,524.0000,17485.0000
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,50313.0000,37248.0000,0.0000,0.0000,27913.0000,19181.0000,0.6872,522.0000,18659.0000
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,48730.0000,37248.0000,0.0000,0.0000,27913.0000,20353.0000,0.7292,521.0000,19831.0000
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,48624.0000,37248.0000,0.0000,0.0000,27913.0000,21235.0000,0.7608,519.0000,20716.0000
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,45668.0000,37248.0000,0.0000,0.0000,27913.0000,22083.0000,0.7912,494.0000,21589.0000
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,42424.0000,37250.0000,0.0000,0.0000,27926.0000,22472.0000,0.8047,305.0000,22167.0000
